FindPhrase	FindPhraseID	FindPhraseStatus	FindPhraseNote	ReplacePhrase	AssignedRoleID	AssignedRole	AssignedRoleRank	JobTitleUsageCount	JobTitleSearchCount	FindPhraseScore
Acquisition Supervisor	360	assignedrole		Acquisition Manager	5413	manager-acquisition	3	NULL	NULL	2
Acquisitions	361	rolemodifier	Try Acquisition.	Acquisition	NULL		10000	NULL	NULL	2194
Acquisitions Editor	362	assignedrole		Acquisitions Editor	2712	editor-acquisition	1	NULL	NULL	81
Acquisitions Jobs	363	assignedrole			3853	jobs-acquisition	2	NULL	NULL	150
Acquisitions Librarian	364	assignedrole		Acquisitions Librarian	5288	librarian-acquisition	1	NULL	NULL	7
Acquistion	365	misspelled	Try Acquisition.	Acquisition	NULL		10000	NULL	NULL	72
Acrobat	366	assignedrole		Acrobat	23	acrobat	1	NULL	NULL	596
Acrobatic	367	rolemodifier			NULL		10000	NULL	NULL	36
Acting	369	rolemodifier			NULL		10000	NULL	NULL	1100
Acting Manager	371	assignedrole		Acting Manager	5414	manager-acting	1	NULL	NULL	26
Acting Supervisor	372	assignedrole		Acting Manager	5414	manager-acting	2	NULL	NULL	17
Acting Teacher	373	assignedrole		Acting Teacher	9419	teacher-acting	1	NULL	NULL	6
Action	374	rolemodifier			NULL		10000	NULL	NULL	8551
Action Jobs	375	assignedrole			3854	jobs-action	1	NULL	NULL	448
Activist	376	assignedrole		Activist	24	activist	1	NULL	NULL	220
Activities	377	rolemodifier			NULL		10000	NULL	NULL	41573
Activities Aide	378	assignedrole		Activities Assistant	1068	clerk-activity	8	NULL	NULL	33
Activities Assistant	379	assignedrole		Activities Assistant	1068	clerk-activity	1	NULL	NULL	1700
Activities Associate	380	assignedrole		Activities Assistant	1068	clerk-activity	9	NULL	NULL	17
Activities Attendant	381	assignedrole		Activities Assistant	1068	clerk-activity	10	NULL	NULL	10
Activities Coordinator	382	assignedrole		Activities Assistant	1068	clerk-activity	4	NULL	NULL	388
Activities Counselor	383	assignedrole		Camp Counselor	1643	counselor-camp	6	NULL	NULL	2
Activities Director	384	assignedrole		Activity Director	1934	director-activity	2	NULL	NULL	573
Activities Manager	386	assignedrole		Activity Director	1934	director-activity	7	NULL	NULL	13
Activities Specialist	387	assignedrole		Activities Assistant	1068	clerk-activity	6	NULL	NULL	63
Activities Supervisor	388	assignedrole		Activity Director	1934	director-activity	8	NULL	NULL	13
Activities Therapist	389	assignedrole		Activity Therapist	9948	therapist-activity	2	NULL	NULL	45
Activities Volunteer	390	assignedrole		Activities Volunteer	10235	volunteer-activities	1	NULL	NULL	30
Activity	391	rolemodifier			NULL		10000	NULL	NULL	2388
Activity Aid	392	assignedrole		Activities Assistant	1068	clerk-activity	11	NULL	NULL	5
Activity Aide	393	assignedrole		Activities Assistant	1068	clerk-activity	7	NULL	NULL	42
Activity Assistant	394	assignedrole		Activities Assistant	1068	clerk-activity	2	NULL	NULL	1401
Activity Coordinator	395	assignedrole		Activities Assistant	1068	clerk-activity	3	NULL	NULL	407
Activity Director	396	assignedrole		Activity Director	1934	director-activity	1	NULL	NULL	802
Activity Manager	398	assignedrole		Activity Director	1934	director-activity	3	NULL	NULL	273
Activity Specialist	399	assignedrole		Activities Assistant	1068	clerk-activity	5	NULL	NULL	202
Activity Supervisor	400	assignedrole		Activity Director	1934	director-activity	9	NULL	NULL	7
Activity Therapist	401	assignedrole		Activity Therapist	9948	therapist-activity	1	NULL	NULL	285
Actor	402	assignedrole		Actor	25	actor	1	NULL	NULL	4866
Actress	403	assignedrole		Actress	26	actress	1	NULL	NULL	135
Actuarial	404	rolemodifier			NULL		10000	NULL	NULL	13324
Actuarial Analyst	405	assignedrole		Actuary	27	actuary	2	NULL	NULL	18165
Actuarial Assistant	406	assignedrole		Actuary	27	actuary	4	NULL	NULL	517
Actuarial Associate	407	assignedrole		Actuary	27	actuary	5	NULL	NULL	354
Actuarial Consultant	408	assignedrole		Actuary	27	actuary	3	NULL	NULL	668
Actuarial Director	409	assignedrole		Actuarial Director	1935	director-actuarial	1	NULL	NULL	43
Actuarial Intern	410	assignedrole		Actuarial Internship	3656	intern-actuarial	2	NULL	NULL	646
Actuarial Internship	411	assignedrole		Actuarial Internship	3656	intern-actuarial	1	NULL	NULL	1285
Actuarial Jobs	412	assignedrole			3855	jobs-actuarial	1	NULL	NULL	36545
Actuarial Manager	413	assignedrole		Manager Actuarial	5416	manager-actuarial	2	NULL	NULL	40
Actuarial Science	414	rolemodifier			NULL		10000	NULL	NULL	122
Actuarial Science Jobs	415	assignedrole			3855	jobs-actuarial	2	NULL	NULL	16
Actuarial Supervisor	416	assignedrole		Manager Actuarial	5416	manager-actuarial	5	NULL	NULL	1
Actuarial Team Lead	417	assignedrole		Actuary	27	actuary	8	NULL	NULL	4
Actuarial Technician	418	assignedrole		Actuary	27	actuary	7	NULL	NULL	21
Actuary	419	assignedrole		Actuary	27	actuary	1	NULL	NULL	115249
Actuary Manager	420	assignedrole		Manager Actuarial	5416	manager-actuarial	3	NULL	NULL	17
Actuary Supervisor	421	assignedrole		Manager Actuarial	5416	manager-actuarial	4	NULL	NULL	2
Acupressurist	422	assignedrole		Acupuncturist	31	acupuncturist	2	NULL	NULL	8
Acupuncture	423	rolemodifier			NULL		10000	NULL	NULL	1658
Acupuncturist	425	assignedrole		Acupuncturist	31	acupuncturist	1	NULL	NULL	600
Acute	426	rolemodifier			NULL		10000	NULL	NULL	263233
Acute Care	427	rolemodifier			NULL		10000	NULL	NULL	33752
Acute Care Assistant	428	assignedrole		Acute Care Assistant	349	assistant-acutecare	1	NULL	NULL	4
Acute Care Nurse	430	assignedrole		Acute Care Nurse	7844	rn-acute	1	NULL	NULL	288
Acute Care Nurse Practitioner	431	assignedrole		Acute Care Nurse Practitioner	6865	nursepractitioner-acutecare	1	NULL	NULL	840
Acute Coordinator	432	assignedrole		Acute Coordinator	1069	clerk-acute	1	NULL	NULL	1
Acute Dialysis	433	rolemodifier			NULL		10000	NULL	NULL	3440
Acute Dialysis Nurse	434	assignedrole		Acute Dialysis Nurse	7845	rn-acutedialysi	1	NULL	NULL	110
Acute Nurse Practitioner	436	assignedrole		Acute Care Nurse Practitioner	6865	nursepractitioner-acutecare	2	NULL	NULL	29
Acute Registered Nurse	437	assignedrole		Acute Care Nurse	7844	rn-acute	6	NULL	NULL	6
Acute Specialist	438	assignedrole		Acute Specialist	8499	specialist-acute	1	NULL	NULL	1
Acutes	439	rolemodifier	Try Acute.	Acute	NULL		10000	NULL	NULL	591
Ad	441	rolemodifier			NULL		10000	NULL	NULL	367
Adapted Physical Education	442	rolemodifier			NULL		10000	NULL	NULL	30
Adapted Physical Education Teacher	444	assignedrole		Adapted Physical Education Teacher	9420	teacher-adaptedphysicaleducation	1	NULL	NULL	5
Adapter	445	assignedrole		Adapter	32	adapter	1	NULL	NULL	90
Adaptive Physical Education	446	rolemodifier			NULL		10000	NULL	NULL	24
Adaptive Physical Education Teacher	448	assignedrole		Adapted Physical Education Teacher	9420	teacher-adaptedphysicaleducation	2	NULL	NULL	5
Addiction	449	rolemodifier			NULL		10000	NULL	NULL	6732
Addiction Counselor	450	assignedrole		Substance Abuse Counselor	1645	counselor-chemicaldependency	2	NULL	NULL	721
Addiction Jobs	451	assignedrole			3856	jobs-addiction	1	NULL	NULL	436
Addiction Nurse	452	assignedrole		Addiction Nurse	7898	rn-dependency	1	NULL	NULL	14
Addiction Professional	453	assignedrole		Substance Abuse Counselor	1645	counselor-chemicaldependency	9	NULL	NULL	15
Addiction Psychiatrist	454	assignedrole		Addiction Psychiatrist	7616	psychiatrist-addiction	1	NULL	NULL	72
Addiction Sales	455	rolemodifier			NULL		10000	NULL	NULL	5
Addiction Sales Jobs	456	assignedrole			4625	jobs-medicalsale	17	NULL	NULL	5
Addiction Sales Specialist	457	assignedrole		Medical Sales Representative	8913	specialist-medicalsale	22	NULL	NULL	5
Addiction Social Worker	458	assignedrole		Addiction Social Worker	8455	socialworker-addiction	1	NULL	NULL	3
Addiction Specialist	459	assignedrole		Addiction Specialist	8500	specialist-addiction	1	NULL	NULL	44
Addiction Therapist	460	assignedrole		Substance Abuse Counselor	1645	counselor-chemicaldependency	6	NULL	NULL	48
Addictions	461	rolemodifier	Try Addiction.	Addiction	NULL		10000	NULL	NULL	720
Addictions Counselor	462	assignedrole		Substance Abuse Counselor	1645	counselor-chemicaldependency	4	NULL	NULL	257
Addictions Jobs	463	assignedrole			3856	jobs-addiction	2	NULL	NULL	40
Addictions Therapist	464	assignedrole		Substance Abuse Counselor	1645	counselor-chemicaldependency	11	NULL	NULL	10
Adding Machine	465	rolemodifier			NULL		10000	NULL	NULL	66
Addresser	466	assignedrole		Addresser	33	addresser	1	NULL	NULL	12
Adhesive	467	rolemodifier			NULL		10000	NULL	NULL	398
Adjudication Specialist	469	assignedrole		Adjudication Specialist	8501	specialist-adjudication	1	NULL	NULL	23
Adjudicator	470	rolekeyword			NULL		10000	NULL	NULL	1293
Adjudicators	471	rolekeyword		Adjudicator	NULL		10000	NULL	NULL	16
Adjunct	472	rolemodifier			NULL		10000	NULL	NULL	2831
Adjunct Faculty	473	rolekeyword			NULL		10000	NULL	NULL	1847
Adjunct Instructor	474	rolekeyword			NULL		10000	NULL	NULL	15618
Adjunct Instructors	475	rolekeyword		Adjunct Instructor	NULL		10000	NULL	NULL	186
Adjunct Jobs	476	assignedrole			3857	jobs-adjunct	1	NULL	NULL	20060
Adjunct Professor	477	rolekeyword			NULL		10000	NULL	NULL	9552
Adjunct Professors	478	rolekeyword		Adjunct Professor	NULL		10000	NULL	NULL	18
Adjunct Trainer	479	assignedrole		Adjunct Trainer	10021	trainer-adjunct	1	NULL	NULL	3
Adjuster	480	rolekeyword	Specify type of Adjuster.		NULL		10000	NULL	NULL	33340
Adjusters	481	rolekeyword	Specify type of Adjuster.	Adjuster	NULL		10000	NULL	NULL	125
Adjustment	482	rolemodifier			NULL		10000	NULL	NULL	3781
Adjustor	484	rolekeyword	Specify type of Adjuster.	Adjuster	NULL		10000	NULL	NULL	295
Adjustors	485	rolekeyword	Specify type of Adjuster.	Adjuster	NULL		10000	NULL	NULL	7
Admeasurer	486	rolekeyword			NULL		10000	NULL	NULL	3
Admeasurers	487	rolekeyword		Admeasurer	NULL		10000	NULL	NULL	3
Admin	488	ambiguous	Admin could mean Administrative or Administrator.	Administrator	NULL		10000	NULL	NULL	82053
Admin Assistant	489	assignedrole		Administrative Assistant	8284	secretary	3	NULL	NULL	5165
Admin Associate	490	ambiguous	Admin typically refers to an Administrator. Try Administrative Associate.		NULL		10000	NULL	NULL	113
Admin Asst	491	assignedrole		Administrative Assistant	8284	secretary	7	NULL	NULL	649
Admin Coord	492	assignedrole		Administrative Coordinator	1070	clerk-administrative	6	NULL	NULL	14
Admin Coordinator	493	assignedrole		Administrative Coordinator	1070	clerk-administrative	4	NULL	NULL	102
Admin Dir	494	assignedrole		Administrative Director	1937	director-administrative	3	NULL	NULL	30
Admin Prog Coord	498	assignedrole		Admin Prog Coord	1071	clerk-administrativeprogram	1	NULL	NULL	1
Admin Secretary	499	assignedrole		Administrative Assistant	8284	secretary	13	NULL	NULL	46
Admin Support	502	rolemodifier			NULL		10000	NULL	NULL	143
Admin Support Assistant	503	assignedrole		Administrative Assistant	8284	secretary	15	NULL	NULL	20
Admin Support Associate	504	assignedrole		Administrative Specialist	8502	specialist-administrative	15	NULL	NULL	30
Admin Support Jobs	505	assignedrole			3860	jobs-adminsupport	2	NULL	NULL	143
Administration	507	rolemodifier			NULL		10000	NULL	NULL	42581
Administration Assistant	508	assignedrole		Administrative Assistant	8284	secretary	10	NULL	NULL	309
Administration Associate	509	assignedrole		Administrative Specialist	8502	specialist-administrative	13	NULL	NULL	36
Administration Coordinator	510	assignedrole		Administrative Coordinator	1070	clerk-administrative	3	NULL	NULL	105
Administration Director	511	assignedrole		Administrative Director	1937	director-administrative	4	NULL	NULL	28
Administration Fellow	512	assignedrole		Administrative Fellow	3181	fellow-administrative	2	NULL	NULL	1
Administration Intern	513	assignedrole		Administrative Intern	3657	intern-administrative	3	NULL	NULL	13
Administration Internship	514	assignedrole		Administrative Intern	3657	intern-administrative	4	NULL	NULL	10
Administration Jobs	515	assignedrole			3858	jobs-administration	1	NULL	NULL	30503
Administration Manager	516	assignedrole		Administrative Manager	5418	manager-administrative	3	NULL	NULL	548
Administration Professional	517	assignedrole		Administrative Specialist	8502	specialist-administrative	12	NULL	NULL	40
Administration Representative	518	assignedrole		Administrative Specialist	8502	specialist-administrative	18	NULL	NULL	13
Administration Specialist	519	assignedrole		Administrative Specialist	8502	specialist-administrative	7	NULL	NULL	197
Administration Supervisor	520	assignedrole		Administrative Manager	5418	manager-administrative	6	NULL	NULL	40
Administrative	521	rolemodifier			NULL		10000	NULL	NULL	130238
Administrative Aide	522	assignedrole		Administrative Assistant	8284	secretary	11	NULL	NULL	277
Administrative Analyst	523	assignedrole		Administrative Specialist	8502	specialist-administrative	4	NULL	NULL	520
Administrative Assist	524	assignedrole		Administrative Assistant	8284	secretary	16	NULL	NULL	17
Administrative Assistant	525	assignedrole		Administrative Assistant	8284	secretary	1	NULL	NULL	911979
Administrative Associate	526	assignedrole		Administrative Specialist	8502	specialist-administrative	2	NULL	NULL	1946
Administrative Asst	527	assignedrole		Administrative Assistant	8284	secretary	8	NULL	NULL	557
Administrative Clerk	528	assignedrole		Administrative Coordinator	1070	clerk-administrative	2	NULL	NULL	695
Administrative Coord	529	assignedrole		Administrative Coordinator	1070	clerk-administrative	7	NULL	NULL	6
Administrative Coordinator	530	assignedrole		Administrative Coordinator	1070	clerk-administrative	1	NULL	NULL	9103
Administrative Director	531	assignedrole		Administrative Director	1937	director-administrative	1	NULL	NULL	1021
Administrative Fellow	532	assignedrole		Administrative Fellow	3181	fellow-administrative	1	NULL	NULL	74
Administrative Intern	533	assignedrole		Administrative Intern	3657	intern-administrative	1	NULL	NULL	166
Administrative Internship	534	assignedrole		Administrative Intern	3657	intern-administrative	2	NULL	NULL	19
Administrative Jobs	535	assignedrole			3859	jobs-administrative	1	NULL	NULL	244586
Administrative Law	536	rolemodifier			NULL		10000	NULL	NULL	162
Administrative Liaison	538	assignedrole		Administrative Specialist	8502	specialist-administrative	17	NULL	NULL	13
Administrative Manager	539	assignedrole		Administrative Manager	5418	manager-administrative	1	NULL	NULL	1886
Administrative Nursing Manager	540	assignedrole		Administrative Nursing Supervisor	5419	manager-administrativenursing	2	NULL	NULL	1
Administrative Nursing Supervisor	541	assignedrole		Administrative Nursing Supervisor	5419	manager-administrativenursing	1	NULL	NULL	20
Administrative Office	542	rolemodifier			NULL		10000	NULL	NULL	372
Administrative Office Assistant	543	assignedrole		Administrative Office Assistant	442	assistant-office	2	NULL	NULL	110
Administrative Office Jobs	544	assignedrole			4687	jobs-office	5	NULL	NULL	105
Administrative Office Manager	545	assignedrole		Administrative Office Manager	6179	manager-office	8	NULL	NULL	11
Administrative Office Supervisor	546	assignedrole		Office Manager	6179	manager-office	10	NULL	NULL	1
Administrative Officer	547	assignedrole		Administrative Officer	6914	officer-administrative	1	NULL	NULL	502
Administrative Processor	548	assignedrole		Administrative Processor	7402	processor-administrative	1	NULL	NULL	76
Administrative Professional	549	assignedrole		Administrative Specialist	8502	specialist-administrative	3	NULL	NULL	1638
Administrative Professionals	550	assignedrole		Administrative Specialist	8502	specialist-administrative	6	NULL	NULL	218
Administrative Receptionist	551	assignedrole		Administrative Receptionist	7711	receptionist	7	NULL	NULL	57
Administrative Representative	552	assignedrole		Administrative Specialist	8502	specialist-administrative	10	NULL	NULL	102
Administrative Resident	553	assignedrole		Administrative Resident	7797	resident-administrative	1	NULL	NULL	57
Administrative Secretary	554	assignedrole		Administrative Assistant	8284	secretary	6	NULL	NULL	1082
Administrative Services	555	rolemodifier			NULL		10000	NULL	NULL	504
Administrative Services Assistant	556	assignedrole		Administrative Assistant	8284	secretary	14	NULL	NULL	23
Administrative Services Coordinator	557	assignedrole		Administrative Coordinator	1070	clerk-administrative	5	NULL	NULL	61
Administrative Services Director	558	assignedrole		Administrative Director	1937	director-administrative	6	NULL	NULL	11
Administrative Services Jobs	559	assignedrole			3859	jobs-administrative	2	NULL	NULL	222
Administrative Services Manager	560	assignedrole		Administrative Manager	5418	manager-administrative	4	NULL	NULL	134
Administrative Services Specialist	561	assignedrole		Administrative Specialist	8502	specialist-administrative	16	NULL	NULL	20
Administrative Services Supervisor	562	assignedrole		Administrative Manager	5418	manager-administrative	12	NULL	NULL	3
Administrative Specialist	563	assignedrole		Administrative Specialist	8502	specialist-administrative	1	NULL	NULL	6248
